Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2020-01-01,Management,Private,All,2831.0,70.0,33.0,355453.0,99401.0,133351.0,42204.0,139155.0,113712.0,232752.0,48.8554341101258,59.78681171375542,5.5149274950241685,42.7068295868564,57.2931704131436
2021-01-01,Management,Private,All,2875.0,87.0,16.0,367679.0,94537.0,133206.0,43337.0,163787.0,88678.0,227743.0,38.9377500076841,71.91746837443961,5.2551630246671435,41.51038670782417,58.48961329217583
2013-01-01,Management,Government,All,179.0,6.0,0.0,13951.0,4189.0,4785.0,1642.0,7268.0,3076.0,8974.0,34.27679964341431,80.98952529529753,5.465286236297199,46.6792957432583,53.3207042567417
2014-01-01,Management,Government,All,189.0,2.0,0.0,15212.0,3866.0,4911.0,1861.0,7333.0,3588.0,8777.0,40.8795716076108,83.54790930841973,4.716281569048898,44.04694086817819,55.9530591318218
2015-01-01,Management,Government,All,193.0,5.0,0.0,15670.0,3871.0,4680.0,1905.0,7006.0,3573.0,8551.0,41.7845865980587,81.93193778505437,4.488713910761155,45.269559115892875,54.730440884107125
2016-01-01,Management,Government,All,244.0,5.0,0.0,19183.0,5236.0,6137.0,1873.0,9435.0,4929.0,11373.0,43.33948826167238,82.95964125560538,6.072076882007474,46.038863976083704,53.96113602391629
2017-01-01,Management,Government,All,244.0,6.0,1.0,18752.0,5169.0,6485.0,1831.0,9946.0,4919.0,11654.0,42.20868371374635,85.34408786682684,6.364827962861824,44.3538699159087,55.6461300840913
2018-01-01,Management,Government,All,251.0,14.0,0.0,19877.0,5570.0,6694.0,1896.0,10159.0,5603.0,12264.0,45.68656229615134,82.83594259621657,6.468354430379747,45.41748206131768,54.582517938682315
2019-01-01,Management,Government,All,245.0,8.0,0.0,18208.0,5871.0,6516.0,1814.0,10081.0,5693.0,12387.0,45.95947364172116,81.38370872689109,6.828555678059537,47.39646403487527,52.60353596512473
2020-01-01,Management,Government,All,238.0,3.0,0.0,17883.0,5699.0,6779.0,1802.0,7731.0,5814.0,12478.0,46.59400544959128,61.957044398140724,6.9245283018867925,45.672383394774805,54.327616605225195
2021-01-01,Management,Government,All,237.0,13.0,0.0,19088.0,5418.0,6814.0,1981.0,9616.0,4636.0,12232.0,37.90058862001308,78.61347285807717,6.174659262998485,44.29365598430346,55.70634401569653
2013-01-01,Pharmacy,Private,All,989.0,11.0,3.0,81768.0,23518.0,28133.0,12831.0,33632.0,13309.0,51651.0,25.767168109039517,65.11393777468007,4.025485153144728,45.53251631139765,54.46748368860235
2014-01-01,Pharmacy,Private,All,981.0,3.0,6.0,83487.0,21563.0,28836.0,17117.0,32194.0,12991.0,50399.0,25.77630508541836,63.878251552610166,2.944382777355845,42.78457905910831,57.21542094089168
2015-01-01,Pharmacy,Private,All,969.0,10.0,5.0,85822.0,21752.0,30584.0,20906.0,33110.0,13778.0,52336.0,26.326047080403548,63.26429226536228,2.503396154214101,41.56221339040049,58.437786609599506
2016-01-01,Pharmacy,Private,All,952.0,15.0,10.0,82615.0,23863.0,31283.0,21556.0,34398.0,13862.0,55146.0,25.13690929532514,62.37623762376238,2.558266839858972,43.27240416349327,56.72759583650673
2017-01-01,Pharmacy,Private,All,959.0,19.0,6.0,80459.0,24962.0,33528.0,20137.0,37381.0,16750.0,58490.0,28.637373910070096,63.910070097452554,2.9046034662561455,42.677380748845955,57.32261925115404
2018-01-01,Pharmacy,Private,All,1003.0,50.0,4.0,82893.0,27843.0,36872.0,24104.0,39210.0,17866.0,64715.0,27.607200803523142,60.58873522367303,2.6848240955857947,43.024028432357255,56.97597156764274
2019-01-01,Pharmacy,Private,All,1138.0,113.0,3.0,90280.0,30009.0,43522.0,26123.0,34448.0,19954.0,73531.0,27.13685384395697,46.84826807740953,2.8147992190789726,40.81135847465694,59.18864152534306
2020-01-01,Pharmacy,Private,All,1523.0,113.0,3.0,119771.0,28650.0,43975.0,36216.0,21716.0,17350.0,72625.0,23.889845094664373,29.90154905335628,2.005329136293351,39.44922547332186,60.55077452667814
